AwardingBody,BiddingSite,SiteLink
CHINO BASIN DESALTER AUTHORITY-LC,www.chinodesalter.org,https://www.chinodesalter.org/Bids.aspx
CHINO BASIN DESALTER AUTHORITY-LC,vendors.planetbids.com,https://vendors.planetbids.com/portal/41338/bo/bo-searchAwardingBody
County of SIskiyou - Department of General Services,www.co.siskiyou.ca.us,https://www.co.siskiyou.ca.us/rfps
County of SIskiyou - Department of General Services,iq.govwin.com,https://iq.govwin.com/neo/public/pop/Siskiyou%20County%20%28CA%29
County of SIskiyou - Department of General Services,www1.publicpurchase.com,"https://www1.publicpurchase.com/gems/siskiyou,ca/buyer/public/home"
County of SIskiyou - Department of General Services,www.dgs.ca.gov,https://www.dgs.ca.gov/OBAS/Bid-Opportunities
County of SIskiyou - Department of General Services,www.instantmarkets.com,https://www.instantmarkets.com/q/siskiyou_county
County of SIskiyou - Department of General Services,www.siskiyoubuilders-exchange.org,https://www.siskiyoubuilders-exchange.org/public-bids/
County of SIskiyou - Department of General Services,www.govcb.com,https://www.govcb.com/statebrowse/state.bids-California-Siskiyou%20County.htm
County of SIskiyou - Department of General Services,siskiyoucoltc.org,https://siskiyoucoltc.org/docs-category/rfp-bid-opportunities/City of Fremont - (WRS),www.fremont.gov,https://www.fremont.gov/business/bids
City of Fremont - (WRS),www.bidnetdirect.com,https://www.bidnetdirect.com/california/cityoffremont
City of Fremont - (WRS),www.fremontne.gov,https://www.fremontne.gov/Bids.aspx?CatID=showStatus&txtSort=Title&showAllBids=&Status=&MOBILE=ON
City of Fremont - (WRS),www.fremontohio.org,https://www.fremontohio.org/doing-business-with-fremont/bids-rfps/
City of Fremont - (WRS),www.milwaukeedowntown.com,"https://www.milwaukeedowntown.com/bid-basics/about-us#:~:text=Milwaukee%20Downtown%2C%20BID%20(Business%20Improvement,the%20downtown%20Milwaukee%20business%20community."
"CP Coachella DPSS, LLC",www.coachella.org,https://www.coachella.org/services/proposals-bids
"CP Coachella DPSS, LLC",www.publicpurchase.com,"https://www.publicpurchase.com/gems/cvag,ca/buyer/public/home"
"CP Coachella DPSS, LLC",pbsystem.planetbids.com,https://vendors.planetbids.com/portal//1633/bo/bo-search
"CP Coachella DPSS, LLC",www.governmentjobs.com,https://www.governmentjobs.com/careers/riverside/DPSSJobs
"CP Coachella DPSS, LLC",rivco.org,https://rivco.org/
"CP Coachella DPSS, LLC",rivcodpss.org,https://rivcodpss.org/
"CP Coachella DPSS, LLC",media.rivcocob.org,https://media.rivcocob.org/proceeds/2024/p2024_04_09.htm
"CP Coachella DPSS, LLC",ww.cvwd.org,http://www.cvwd.org/140/Bid-Opportunities
"CP Coachella DPSS, LLC",vendors.planetbids.com,https://vendors.planetbids.com/portal/16339/bo/bo-search
Dixon Public Library,solanolibrary.com,https://solanolibrary.com/about/boards-and-commissions/governing-board-library-trustees/
Dixon Public Library,www.dixongov.com,https://www.dixongov.com/documents/dixon-public-library-docs/library-documents-and-downloads/dpl-facility-plan-2022/?layout=default
Dixon Public Library,www.cityofdixon.us,https://www.cityofdixon.us/bids
Dixon Public Library,www.shawlocal.com,https://www.shawlocal.com/sauk-valley/news/2023/10/18/waiting-on-the-money-dixon-library-renovation-plans-shovel-ready/
Dixon Public Library,lacountylibrary.org,https://lacountylibrary.org/location/culver-city-julian-dixon-library/
Dixon Public Library,www.fcc.gov,https://www.fcc.gov/document/dixon-public-library-dixon-il
Dixon Public Library,bookpoints.org,https://bookpoints.org/content/dixon-public-library
City of Santa Clara - Purchasing,www.santaclaraca.gov,https://www.santaclaraca.gov/our-city/departments-a-f/finance/purchasing/bid-opportunities
City of Santa Clara - Purchasing,procurement.sccgov.org,https://procurement.sccgov.org/doing-business-county/current-solicitations
City of Santa Clara - Purchasing,www.bidnetdirect.com,https://www.bidnetdirect.com/california/cityofsantaclara
City of Santa Clara - Purchasing,faf.santaclaracounty.gov,https://faf.santaclaracounty.gov/bid-opportunities-and-vendor-registration
City of Santa Clara - Purchasing,www.siliconvalleypower.com,https://www.siliconvalleypower.com/svp-and-community/about-svp/rfps-bids
City of Santa Clara - Purchasing,www.linkedin.com,https://www.linkedin.com/in/grace-dougherty-74a54a272#:~:text=Grace%20Dougherty%20%2D%20Purchasing%20Division%20Manager%20%2D%20City%20of%20Santa%20Clara%20%7C%20LinkedIn
City of Santa Clara - Purchasing,www.investopedia.com,"https://www.investopedia.com/terms/b/bid.asp#:~:text=The%20bid%20process%20depends%20on,usually%20through%20a%20sealed%20process."
City of Santa Clara - Purchasing,www.publicpurchase.com,"https://www.publicpurchase.com/gems/santaclara,ca/buyer/public/home"
AESD,anaheimelementary.org,https://anaheimelementary.org/administrative-services/purchasing/bid-opportunities/
AESD,www.aesd.net,https://www.aesd.net/divisions/business-services/fiscal-services/purchasing-services
AESD,sandiegounified.org,https://sandiegounified.org/departments/strategic_sourcing_and_contracts/bids_and_requests_for_proposal
AESD,www.aesd.edu,https://www.aesd.edu/apps/pages/index.jsp?uREC_ID=1990183&type=d
AESD,www.powayusd.com,https://www.powayusd.com/apps/pages/current-bids
AESD,www.cvesd.org,https://www.cvesd.org/district/business-services/purchasing-warehouse--publications/bids
AESD,www.sysdschools.org,https://www.sysdschools.org/Page/120
AESD,www.oside.us,https://www.oside.us/departments/fiscal-services/purchasing/bids
"Electric Power Research Institute, Inc.",www.epri.com,https://www.epri.com/university-rfp
"Electric Power Research Institute, Inc.",govtribe.com,https://govtribe.com/vendors/electric-power-research-institute-inc-dot-2s900
"Electric Power Research Institute, Inc.",restservice.epri.com,https://restservice.epri.com/publicdownload/000000003002011738/0/Product
"Electric Power Research Institute, Inc.",www.instantmarkets.com,"https://www.instantmarkets.com/q/systems_research_institute%3Fot%3DBid%2520Notification,Pre-Bid%2520Notification,Award,Contract&pg%3D16&os%3DActive,Archived"
"Electric Power Research Institute, Inc.",www.energy.ca.gov,https://www.energy.ca.gov/filebrowser/download/5467?fid=5467
"Electric Power Research Institute, Inc.",www.highergov.com,https://www.highergov.com/awardee/electric-power-research-institute-inc-10414201/
County of San Mateo-Facilities Projects & Construction,www.smcgov.org,https://www.smcgov.org/publicworks/san-mateo-county-public-works-projects
County of San Mateo-Facilities Projects & Construction,www.cityofsanmateo.org,"https://www.cityofsanmateo.org/482/Accessory-Buildings#:~:text=Accessory%20Building%20Permit%20Requirements&text=A%20building%20permit%20is%20not,the%20lot%20must%20be%20met."
County of San Mateo-Facilities Projects & Construction,smccd.edu,https://smccd.edu/facilities/projects/overview.php
City of Berkeley Energy Office,berkeleyca.gov,https://berkeleyca.gov/doing-business/working-city/bid-proposal-opportunities
City of Berkeley Energy Office,www.govcb.com,https://www.govcb.com/statebrowse/state.bids-California-City%20of%20Berkeley.htm
City of Berkeley Energy Office,www.berkeleymo.us,https://www.berkeleymo.us/egov/apps/document/center.egov?eGov_searchType=48;eGov_searchSubmit=Search
City of Berkeley Energy Office,berkeley.granicus.com,https://berkeley.granicus.com/AgendaViewer.php?view_id=5&clip_id=4684
City of Berkeley Energy Office,www.publicpurchase.com,https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=14305&region=CA
County of Trinity,www.trinitycounty.org,https://www.trinitycounty.org/Request-for-Proposals
County of Trinity,www.co.trinity.tx.us,https://www.co.trinity.tx.us/page/trinity.Bid.Notices
County of Trinity,www.instantmarkets.com,https://www.instantmarkets.com/q/trinity_county
County of Trinity,www.publicpurchase.com,https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=37768&region=TX
County of Trinity,en.wikipedia.org,"https://en.wikipedia.org/wiki/Trinity_County,_California#:~:text=The%20county%20seat%20and%20largest%20community%20is%20Weaverville."
County of Trinity,eavervilleonline.net,http://weavervilleonline.net/#:~:text=Weaverville%20is%20located%20in%20Northern%20California%20in%20Trinity%20County.
County of Trinity,www.investopedia.com,"https://www.investopedia.com/terms/b/bid.asp#:~:text=The%20bid%20process%20depends%20on,usually%20through%20a%20sealed%20process."
County of Trinity,www.trinity.courts.ca.gov,"https://www.trinity.courts.ca.gov/general-information/history#:~:text=Trinity%20County%20was%20founded%20on,stream%20emptied%20into%20Trinidad%20Bay."
County of Trinity,iq.govwin.com,https://iq.govwin.com/neo/public/pop/Trinity%20County%20%28CA%29
County of Trinity,www.tcrcd.net,https://www.tcrcd.net/index.php/news/public-notice
County of Trinity,www.bidnetdirect.com,https://www.bidnetdirect.com/public/supplier/solicitations/statewide/443151848855/abstract
County of Trinity,www.easttexasnews.com,"https://www.easttexasnews.com/article/3597,trinity-county-seeking-bids-for-road-materials-and-services"
